               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12025,             0.01735,                   0,           0.0042972,            0.058824,          0.00045118,          0.00014348,             0.11702,            0.015241,                   0,               5e-05,               5e-05,             0.09955
                   1,              0.1175,            0.017812,                   0,           0.0046207,            0.058824,          0.00059479,          0.00017158,             0.11405,             0.01482,                   0,          0.00010998,          0.00010998,             0.09901
                   2,             0.11329,            0.017829,                   0,           0.0070284,             0.11765,           0.0017459,          0.00031717,             0.11051,            0.014467,                   0,          0.00016985,          0.00016985,             0.09847
                   3,             0.10886,            0.017811,                   0,           0.0096498,             0.11765,           0.0024551,          0.00028748,             0.10557,            0.014337,                   0,          0.00022954,          0.00022954,             0.09793
                   4,              0.1049,            0.018674,                   0,            0.016096,             0.17647,           0.0055758,           0.0012884,             0.09966,            0.014363,                   0,          0.00028897,          0.00028897,            0.097389
                   5,             0.10062,            0.019637,                   0,            0.033397,            0.058824,           0.0063532,           0.0023427,            0.094502,            0.014413,                   0,          0.00034806,          0.00034806,            0.096848
                   6,            0.096675,            0.018467,                   0,            0.076436,             0.11765,            0.018997,           0.0037959,            0.089739,            0.014486,                   0,          0.00040673,          0.00040673,            0.096307
                   7,             0.09117,            0.018641,                   0,            0.047787,             0.29412,            0.018943,           0.0067709,            0.084735,            0.014563,                   0,          0.00046491,          0.00046491,            0.095765
                   8,            0.088533,             0.02027,                   0,             0.10968,             0.11603,            0.027293,           0.0094417,            0.080209,            0.014649,                   0,          0.00052251,          0.00052251,            0.095223
                   9,            0.080702,            0.020476,                   0,             0.18753,             0.17647,            0.051683,              0.0149,            0.075978,            0.014699,                   0,          0.00057946,          0.00057946,            0.094679
                  10,            0.078108,            0.020909,                   0,            0.068199,             0.47059,            0.050592,            0.018376,            0.070237,            0.014953,                   0,          0.00063568,          0.00063568,            0.094136
                  11,            0.077044,            0.020191,                   0,             0.21239,             0.35294,             0.12225,            0.057111,            0.065487,            0.015013,                   0,          0.00069111,          0.00069111,            0.093591
                  12,            0.071499,            0.020756,                   0,             0.30174,             0.52941,             0.21677,            0.085583,            0.061799,            0.014924,                   0,          0.00074567,          0.00074567,            0.093046
                  13,             0.06793,            0.020698,                   0,             0.26287,             0.47059,             0.18091,            0.073354,            0.059057,            0.014812,                   0,          0.00079928,          0.00079928,            0.092499
                  14,            0.064463,            0.019945,                   0,             0.35914,             0.52941,             0.27303,            0.077943,            0.054954,            0.014778,                   0,          0.00085188,          0.00085188,            0.091952
                  15,            0.059298,            0.022388,                   0,             0.42897,             0.39839,             0.31915,             0.14833,            0.049735,            0.014666,                   0,          0.00090341,          0.00090341,            0.091403
                  16,            0.055984,            0.022179,                   0,             0.40829,             0.52941,             0.36437,             0.15615,            0.047322,            0.014312,                   0,          0.00095378,          0.00095378,            0.090854
                  17,             0.05676,            0.021716,                   0,             0.49979,             0.52941,             0.43275,             0.20539,             0.04488,            0.013971,                   0,           0.0010029,           0.0010029,            0.090303
                  18,            0.052463,            0.019738,                   0,             0.74556,             0.35294,             0.44459,             0.22981,            0.044983,            0.013438,                   0,           0.0010508,           0.0010508,            0.089751
                  19,             0.05297,            0.019432,                   0,             0.66575,             0.47059,             0.45735,             0.20771,            0.049056,            0.012671,                   0,           0.0010974,           0.0010974,            0.089197
                  20,            0.049414,            0.020319,                   0,             0.57367,              0.6338,             0.57763,             0.37188,             0.04195,            0.012713,                   0,           0.0011426,           0.0011426,            0.088643
                  21,            0.049973,            0.019837,                   0,             0.71336,             0.58824,             0.58266,             0.32219,            0.039416,             0.01241,                   0,           0.0011863,           0.0011863,            0.088086
                  22,            0.044363,            0.019153,                   0,             0.71386,             0.58824,             0.61192,             0.36479,            0.040314,            0.011808,                   0,           0.0012285,           0.0012285,            0.087529
                  23,            0.047196,            0.017908,                   0,             0.76806,             0.58824,             0.62483,              0.3607,            0.038936,            0.011495,                   0,           0.0012692,           0.0012692,            0.086969
                  24,            0.046207,            0.017417,                   0,             0.89999,             0.52936,             0.63391,             0.37816,            0.034001,            0.011547,                   0,           0.0013083,           0.0013083,            0.086408
                  25,            0.044556,            0.017964,                   0,             0.76782,             0.58824,             0.65984,             0.41363,            0.038543,             0.01104,                   0,           0.0013457,           0.0013457,            0.085846
                  26,            0.047143,             0.01802,                   0,              0.7054,             0.70433,             0.68617,             0.34497,            0.044609,             0.01025,                   0,           0.0013815,           0.0013815,            0.085281
                  27,            0.044763,            0.016825,                   0,             0.70565,             0.70514,             0.70067,             0.34434,            0.036299,            0.010442,                   0,           0.0014155,           0.0014155,            0.084715
                  28,            0.044561,            0.016211,                   0,             0.78471,             0.64706,             0.72382,             0.47668,             0.03345,            0.010266,                   0,           0.0014477,           0.0014477,            0.084148
                  29,             0.04342,            0.014953,                   0,             0.84611,             0.64687,             0.71778,             0.42568,             0.03372,            0.010035,                   0,           0.0014782,           0.0014782,            0.083578
                  30,             0.04247,            0.014661,                   0,             0.74994,             0.70568,             0.69339,             0.40008,            0.033818,            0.009828,                   0,           0.0015068,           0.0015068,            0.083007
                  31,            0.044114,            0.015402,                   0,             0.79988,             0.70537,             0.69515,             0.42774,            0.033067,           0.0096972,                   0,           0.0015336,           0.0015336,            0.082434
